,ID_Marque,Marque,Modele_com,Designation_com
143,143,AUDI,A4 ALLROAD QUATTRO,A4 ALLROAD QUATTRO V6 3.0 TDI (245ch) S TRONIC 7 CLEAN DIESEL
144,144,AUDI,A4 AVANT,A4 AVANT 1.8 TFSI (120ch)
145,145,AUDI,A4 AVANT,A4 AVANT 1.8 TFSI (120ch) MULTITRONIC 8
146,146,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (120ch)
147,147,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (136ch)
148,148,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (150ch)
149,149,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (150ch) MULTITRONIC 8
150,150,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (150ch) QUATTRO
151,151,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (163ch)
152,152,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (163ch) MULTITRONIC 8
153,153,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (163ch) ULTRA
154,154,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (177ch)
155,155,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (177ch) MULTITRONIC 8
156,156,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (177ch) QUATTRO
157,157,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (177ch) QUATTRO STRONIC 7
158,158,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (190ch)
159,159,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (190ch) MULTITRONIC 8
160,160,AUDI,A4 AVANT,A4 AVANT 2.0 TDI (190ch) QUATTRO
161,161,AUDI,A4 AVANT,A4 AVANT 2.0 TFSI (170ch)
162,162,AUDI,A4 AVANT,A4 AVANT 2.0 TFSI (170ch) MULTITRONIC 8
163,163,AUDI,A4 AVANT,A4 AVANT 2.0 TFSI (170ch) QUATTRO
164,164,AUDI,A4 AVANT,A4 AVANT 2.0 TFSI (225ch)
165,165,AUDI,A4 AVANT,A4 AVANT 2.0 TFSI (225ch) MULTITRONIC 8
166,166,AUDI,A4 AVANT,A4 AVANT 2.0 TFSI (225ch) QUATTRO
167,167,AUDI,A4 AVANT,A4 AVANT 2.0 TFSI (225ch) QUATTRO S TRONIC 7
168,168,AUDI,A4 AVANT,A4 AVANT V6 3.0 TDI (245ch) QUATTRO
169,169,AUDI,A4 AVANT,A4 AVANT V6 3.0 TDI (245ch) QUATTRO S TRONIC 7
170,170,AUDI,A4 AVANT,A4 AVANT V6 3.0 TDI (245ch) QUATTRO S TRONIC 7 CLEAN DIESEL
171,171,AUDI,A4 AVANT,A4 AVANT V6 3.0 TFSI (204ch)
172,172,AUDI,A4 AVANT,A4 AVANT V6 3.0 TFSI (204ch) MULTITRONIC 8
173,173,AUDI,A4 AVANT,A4 AVANT V6 3.0 TFSI (272ch) QUATTRO S TRONIC 7
174,174,AUDI,A4 LIMOUSINE,A4 1.8 TFSI (120ch)
175,175,AUDI,A4 LIMOUSINE,A4 1.8 TFSI (120ch) MULTITRONIC
176,176,AUDI,A4 LIMOUSINE,A4 2.0 TDI (120ch)
177,177,AUDI,A4 LIMOUSINE,A4 2.0 TDI (136ch)
178,178,AUDI,A4 LIMOUSINE,A4 2.0 TDI (150ch)
179,179,AUDI,A4 LIMOUSINE,A4 2.0 TDI (150ch) MULTITRONIC 8
180,180,AUDI,A4 LIMOUSINE,A4 2.0 TDI (150ch) QUATTRO
181,181,AUDI,A4 LIMOUSINE,A4 2.0 TDI (163ch)
182,182,AUDI,A4 LIMOUSINE,A4 2.0 TDI (163ch) MULTITRONIC 8
