,ID_Consommation,Conso_urb,Conso_exurb,Conso_mixte
26359,26359,11.19999981,7.5,8.899999619
26360,26360,11.19999981,7.5,8.899999619
26361,26361,11.19999981,7.5,8.899999619
26362,26362,11.19999981,7.5,8.899999619
26363,26363,11.19999981,7.5,8.899999619
26364,26364,11.19999981,7.5,8.899999619
26365,26365,11.19999981,7.5,8.899999619
26366,26366,11.19999981,7.5,8.899999619
26367,26367,11.19999981,7.5,8.899999619
26368,26368,11.19999981,7.5,8.899999619
26369,26369,11.19999981,7.5,8.899999619
26370,26370,11.10000038,7.400000095,8.800000191
26371,26371,11.19999981,7.5,8.899999619
26372,26372,11.10000038,7.400000095,8.800000191
26373,26373,11.19999981,7.5,8.899999619
26374,26374,11.10000038,7.400000095,8.800000191
26375,26375,11.19999981,7.5,8.899999619
26376,26376,11.10000038,7.400000095,8.800000191
26377,26377,11.19999981,7.5,8.899999619
26378,26378,11.19999981,7.5,8.899999619
26379,26379,11.19999981,7.5,8.899999619
26380,26380,11.19999981,7.5,8.899999619
26381,26381,11.19999981,7.5,8.899999619
26382,26382,11.19999981,7.5,8.899999619
26383,26383,11.10000038,7.400000095,8.800000191
26384,26384,11.19999981,7.5,8.899999619
26385,26385,11.10000038,7.400000095,8.800000191
26386,26386,11.19999981,7.5,8.899999619
26387,26387,11.10000038,7.400000095,8.800000191
26388,26388,11.19999981,7.5,8.899999619
26389,26389,11.10000038,7.400000095,8.800000191
26390,26390,11.19999981,7.5,8.899999619
26391,26391,11.19999981,7.5,8.899999619
26392,26392,11.19999981,7.5,8.899999619
26393,26393,11.19999981,7.5,8.899999619
26394,26394,11.19999981,7.5,8.899999619
26395,26395,11.19999981,7.5,8.899999619
26396,26396,11.19999981,7.5,8.899999619
26397,26397,11.19999981,7.5,8.899999619
26398,26398,11.19999981,7.5,8.899999619
26399,26399,11.10000038,7.400000095,8.800000191
26400,26400,11.19999981,7.5,8.899999619
26401,26401,11.19999981,7.5,8.899999619
26402,26402,11.10000038,7.400000095,8.800000191
26403,26403,11.19999981,7.5,8.899999619
26404,26404,11.19999981,7.5,8.899999619
26405,26405,11.10000038,7.400000095,8.800000191
26406,26406,11.19999981,7.5,8.899999619
26407,26407,11.19999981,7.5,8.899999619
26408,26408,11.10000038,7.400000095,8.800000191
26409,26409,11.19999981,7.5,8.899999619
26410,26410,11.19999981,7.5,8.899999619
26411,26411,11.19999981,7.5,8.899999619
26412,26412,11.19999981,7.5,8.899999619
26413,26413,11.19999981,7.5,8.899999619
26414,26414,11.19999981,7.5,8.899999619
26415,26415,11.19999981,7.5,8.899999619
26416,26416,11.19999981,7.5,8.899999619
26417,26417,11.19999981,7.5,8.899999619
26418,26418,11.10000038,7.400000095,8.800000191
26419,26419,11.19999981,7.5,8.899999619
26420,26420,11.19999981,7.5,8.899999619
26421,26421,11.10000038,7.400000095,8.800000191
26422,26422,11.19999981,7.5,8.899999619
26423,26423,11.19999981,7.5,8.899999619
26424,26424,11.19999981,7.5,8.899999619
26425,26425,11.19999981,7.5,8.899999619
26426,26426,11.10000038,7.400000095,8.800000191
26427,26427,11.19999981,7.5,8.899999619
